SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,INE144J01027
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,INE253B01015
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,INE466L01038
3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,INE748C01038
3MINDIA,3M India Limited,EQ,13-AUG-2004,INE470A01017
3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,INE105C01023
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,INE618L01018
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,INE111B01023
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,INE619I01012
AAATECH,AAA Technologies Limited,BE,28-NOV-2022,INE0D0U01013
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,INE883F01010
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,INE087Z01024
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,INE198H01019
AARON,Aaron Industries Limited,EQ,06-NOV-2020,INE721Z01010
AARTECH,Aartech Solonics Limited,EQ,10-JUL-2023,INE01C001026
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,INE767A01016
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,INE769A01020
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,INE0LRU01027
AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,INE09EO01013
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,INE754X01016
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,INE216P01012
ABAN,Aban Offshore Limited,BE,29-MAR-1995,INE421A01028
ABB,ABB India Limited,EQ,08-FEB-1995,INE117A01022
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,INE358A01014
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,INE674K01013
ABCOTS,A B Cotspin India Limited,EQ,24-SEP-2025,INE08PH01015
ABDL,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,INE647O01011
ABINFRA,A B Infrabuild Limited,EQ,08-NOV-2024,INE00YB01025
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-JUN-2025,INE14LE01019
ABMINTLLTD,ABM International Limited,EQ,09-SEP-2021,INE251C01025
ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,INE404A01024
ACC,ACC Limited,EQ,20-NOV-1996,INE012A01025
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,INE793A01012
ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,INE648Z01023
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,INE731H01025
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,INE543V01017
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,INE128X01021
ACL,Andhra Cements Limited,EQ,10-MAY-2023,INE666E01020
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-NOV-2024,INE622W01025
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021,INE00FF01025
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,INE931S01010
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,INE423A01024
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,INE742F01042
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,INE814H01029
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,INE982B01027
ADL,Archidply Decor Limited,EQ,01-OCT-2020,INE0CHO01012
ADOR,Ador Welding Limited,EQ,10-MAY-1995,INE045A01017
ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,INE737B01033
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,INE102I01027
ADVAIT,Advait Energy Transitions Limited,EQ,20-JAN-2026,INE0ALI01010
ADVANCE,Advance Agrolife Limited,EQ,08-OCT-2025,INE1B0W01010
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,INE199C01026
ADVENTHTL,Advent Hotels International Limited,EQ,13-NOV-2025,INE28GN01010
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,INE837H01020
AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996,INE208C01025
AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,02-JUN-2025,INE0INX01018
AEQUS,Aequs Limited,EQ,10-DEC-2025,INE947N01017
AEROENTER,Aeroflex Enterprises Limited,EQ,21-NOV-2022,INE065D01027
AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,INE024001021
AERONEU,Aeroflex Neu Limited,EQ,12-JAN-2023,INE035801013
AETHER,Aether Industries Limited,EQ,03-JUN-2022,INE0BWX01014
AFCONS,Afcons Infrastructure Limited,EQ,04-NOV-2024,INE101I01011
AFFLE,Affle 3i Limited,EQ,08-AUG-2019,INE00WC01027
AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-OCT-2024,INE692Z01013
AFIL,Akme Fintrade (India) Limited,EQ,26-JUN-2024,INE916Y01027
AFSL,Abans Financial Services Limited,EQ,23-DEC-2022,INE00ZE01026
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,INE204E01012
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-FEB-2025,INE943P01029
AGI,AGI Greenpac Limited,EQ,31-MAY-2000,INE415A01038
AGIIL,Agi Infra Limited,EQ,15-JUL-2024,INE976R01033
AGRITECH,Agri-Tech (India) Limited,BE,28-JAN-2014,INE449G01018
AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,INE740V01019
AGSTRA,AGS Transact Technologies Limited,BZ,31-JAN-2022,INE583L01014
AHCL,Anlon Healthcare Limited,EQ,03-SEP-2025,INE0Y8W01017
AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,INE00PV01013
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,INE926K01017
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,INE758C01029
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,INE212H01026
AIIL,Authum Investment & Infrastructure Limited,EQ,23-APR-2024,INE206F01022
AIRAN,Airan Limited,EQ,03-MAY-2019,INE645W01026
AIROLAM,Airo Lam limited,EQ,13-OCT-2021,INE801L01010
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,INE031B01049
AJAXENGG,Ajax Engineering Limited,EQ,17-FEB-2025,INE274Y01021
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,INE298G01035
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,INE820Y01021
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,INE737W01013
AKG,Akg Exim Limited,EQ,16-FEB-2021,INE00Y801016
AKI,AKI India Limited,EQ,06-APR-2023,INE642Z01026
AKSHAR,Akshar Spintex Limited,EQ,23-MAY-2022,INE256Z01025
AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,INE542B01011
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,INE523B01011
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,INE09XN01023
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,INE133A01011
ALANKIT,Alankit Limited,EQ,30-JUN-2015,INE914E01040
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,INE155C01010
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,INE426A01027
ALGOQUANT,Algoquant Fintech Limited,EQ,06-JAN-2026,INE598D01035
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,INE062D01024
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,INE03Q201024
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,INE773I01017
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,INE150B01039
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,INE418H01029
ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,INE835G01018
ALLTIME,All Time Plastics Limited,EQ,14-AUG-2025,INE0GV601021
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,INE326B01035
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,INE270A01029
